date,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,crop,soil_moisture,irrigated,electricity_kWh
2015-01-01,15.54,0.0,1.14,7.75,Wheat,28.923000000000002,0,0.0
2015-01-02,16.4,4.1,1.06,2.43,Wheat,31.903000000000002,0,0.0
2015-01-03,14.3,11.06,1.0,4.18,Wheat,41.948,0,0.0
2015-01-04,13.26,0.04,2.46,7.2,Wheat,41.025,0,0.0
2015-01-05,12.96,0.03,4.19,12.95,Wheat,40.107,0,0.0
2015-01-06,13.06,0.0,2.56,9.47,Wheat,39.153999999999996,0,0.0
2015-01-07,12.35,0.0,2.11,5.63,Wheat,38.2365,0,0.0
2015-01-08,11.89,0.0,2.17,4.93,Wheat,37.342,0,0.0
2015-01-09,11.12,0.0,1.77,7.02,Wheat,36.486,0,0.0
2015-01-10,10.92,0.0,2.41,10.9,Wheat,35.64,0,0.0
2015-01-11,11.67,0.0,2.25,8.05,Wheat,34.7565,0,0.0
2015-01-12,12.05,0.0,1.67,7.45,Wheat,33.854,0,0.0
2015-01-13,12.23,0.0,1.57,9.38,Wheat,32.9425,0,0.0
2015-01-14,11.24,2.34,1.53,4.48,Wheat,34.4205,0,0.0
2015-01-15,11.57,0.0,1.61,9.83,Wheat,33.541999999999994,0,0.0
2015-01-16,12.7,0.0,1.55,11.18,Wheat,32.60699999999999,0,0.0
2015-01-17,13.29,0.0,2.23,10.98,Wheat,31.64249999999999,0,0.0
2015-01-18,12.8,0.0,2.13,10.62,Wheat,30.70249999999999,0,0.0
2015-01-19,12.82,0.0,1.66,8.62,Wheat,29.76149999999999,0,0.0
2015-01-20,12.04,0.0,1.14,6.75,Wheat,28.85949999999999,0,0.0
2015-01-21,13.47,2.61,1.34,8.22,Wheat,30.495999999999988,0,0.0
2015-01-22,12.27,6.15,1.42,1.79,Wheat,35.73249999999999,0,0.0
2015-01-23,13.25,2.72,1.27,9.43,Wheat,37.48999999999999,0,0.0
2015-01-24,13.51,0.0,1.96,7.55,Wheat,36.51449999999999,0,0.0
2015-01-25,12.41,0.0,1.68,8.44,Wheat,35.593999999999994,0,0.0
2015-01-26,12.3,3.04,0.86,5.93,Wheat,37.718999999999994,0,0.0
2015-01-27,12.88,0.0,2.09,8.79,Wheat,36.77499999999999,0,0.0
2015-01-28,10.91,0.0,2.17,12.07,Wheat,35.92949999999999,0,0.0
2015-01-29,10.47,0.0,2.23,15.27,Wheat,35.10599999999999,0,0.0
2015-01-30,11.47,0.0,2.98,16.63,Wheat,34.23249999999999,0,0.0
2015-01-31,12.64,0.0,2.56,16.14,Wheat,33.300499999999985,0,0.0
2015-02-01,15.02,0.0,1.21,13.82,Wheat,32.24949999999998,0,0.0
2015-02-02,15.9,0.11,1.86,11.8,Wheat,31.264499999999984,0,0.0
2015-02-03,15.66,2.13,2.68,13.32,Wheat,32.31149999999999,0,0.0
2015-02-04,14.43,0.45,2.31,10.59,Wheat,31.73999999999999,0,0.0
2015-02-05,13.69,0.0,2.15,17.1,Wheat,30.75549999999999,0,0.0
2015-02-06,14.26,0.0,1.36,16.67,Wheat,29.74249999999999,0,0.0
2015-02-07,16.51,0.0,1.22,14.99,Wheat,28.61699999999999,0,0.0
2015-02-08,17.21,0.0,1.85,14.37,Wheat,27.45649999999999,0,0.0
2015-02-09,16.17,0.0,2.17,16.64,Wheat,26.347999999999992,0,0.0
2015-02-10,15.37,0.0,2.19,16.99,Wheat,25.27949999999999,0,0.0
2015-02-11,15.1,0.0,1.63,15.53,Wheat,34.22449999999999,1,4.5
2015-02-12,14.98,0.0,2.1,15.68,Wheat,33.17549999999999,0,0.0
2015-02-13,15.99,0.0,2.34,17.97,Wheat,32.07599999999999,0,0.0
2015-02-14,19.16,0.0,1.42,17.33,Wheat,30.817999999999994,0,0.0
2015-02-15,20.2,0.0,1.25,16.74,Wheat,29.507999999999996,0,0.0
2015-02-16,19.28,0.0,1.82,13.72,Wheat,28.243999999999996,0,0.0
2015-02-17,19.72,0.0,0.97,15.64,Wheat,26.957999999999995,0,0.0
2015-02-18,20.52,0.0,1.1,14.27,Wheat,25.631999999999994,0,0.0
2015-02-19,21.9,0.02,1.36,15.88,Wheat,34.25699999999999,1,4.5
2015-02-20,21.28,3.18,1.34,16.6,Wheat,36.07299999999999,0,0.0
2015-02-21,21.59,0.0,2.77,17.36,Wheat,34.69349999999999,0,0.0
2015-02-22,21.88,0.0,3.28,18.9,Wheat,33.299499999999995,0,0.0
2015-02-23,20.8,0.0,1.42,16.61,Wheat,31.959499999999995,0,0.0
2015-02-24,21.35,0.0,1.13,11.75,Wheat,30.591999999999995,0,0.0
2015-02-25,20.75,2.38,1.88,11.47,Wheat,31.634499999999996,0,0.0
2015-02-26,15.96,0.26,1.68,18.56,Wheat,30.796499999999998,0,0.0
2015-02-27,16.11,0.19,1.62,19.66,Wheat,29.881,0,0.0
2015-02-28,18.12,0.56,1.15,17.28,Wheat,29.235,0,0.0
2015-03-01,15.92,34.12,4.2,3.71,Wheat,62.259,0,0.0
2015-03-02,16.48,31.16,2.68,9.92,Wheat,92.295,0,0.0
2015-03-03,15.76,4.36,1.5,12.38,Wheat,95.56700000000001,0,0.0
